,song,album,album_id,artists,track_number,disc_number
1650,El Dorado,El Dorado,5kywkECQwnIBHzst6DCQem,['Aterciopelados'],6,1
1664,I & I Survive,I & I Survived - Dub,0Gm1JBgQzsiLKIiLuP7x8w,"['Bad Brains', 'Dr. Know', 'Darryl Jenifer', 'Earl Hudson']",4,1
1672,I & I Survive,I & I Survived - Dub,0Gm1JBgQzsiLKIiLuP7x8w,"['Bad Brains', 'Dr. Know', 'Darryl Jenifer', 'Earl Hudson']",12,1
1756,Daydream,Daydream,3bCSdcnfigDBSD1aBopsqw,['Washington Saxophone Quartet'],10,1
1819,The Boy Is Mine,The Boy Is Mine,6mIyViyBHV4eoQqI4JZByh,"['Brandy', 'Monica']",2,1
1846,Butterfly,Butterfly,7aDBFWp72Pz4NZEtVBANi9,['Mariah Carey'],2,1
1854,Fly Away (Butterfly Reprise),Butterfly,7aDBFWp72Pz4NZEtVBANi9,['Mariah Carey'],10,1
1882,Celebrity,Celebrity,7zBue2Vuzg4Z3ncRXaIkJg,['*NSYNC'],2,1
1922,Everything Must Go,Everything Must Go,2xAmCU4FBfYeqsTKqwd5Gn,['Manic Street Preachers'],5,1
1947,The Ghosts That Haunt Me,The Ghosts That Haunt Me,6IAT88ZYeFZEszIUZ1gUUH,['Crash Test Dummies'],6,1
2007,Not A Moment Too Soon,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,['Tim McGraw'],5,1
2051,Picture This,Picture This,6BeGhF9toWqHVpmtYFGTpH,['Jim Brickman'],4,1
2074,A Place In The Sun,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,['Tim McGraw'],14,1
2083,Mobilize,Mobilize,3NYP1KtNzZSjXTnpxZQCjr,['Grant-Lee Phillips'],9,1
2142,"So Long, Astoria","So Long, Astoria",6prPsuR3shSCqcxPB84dkg,['The Ataris'],1,1
2160,True Colors,True Colors,31TRqoVBTQi0lzlPLtvINn,['Cyndi Lauper'],4,1
2194,Mess,The Unauthorized Biography Of Reinhold Messner,2ucnrprKK7JaOSaFl1dNGA,['Ben Folds Five'],3,1
2203,Stalled Parade,Stalled Parade,6qrlpFoRbxOWj7eXAihKVi,['Eleventh Dream Day'],1,1
2228,Wait For Me,Wait For Me,4zDoidNRO3T32ynjZavA3B,['Susan Tedeschi'],5,1
2250,The Way It Is,The Way It Is,243jhZJtyIZtEkrD6vhRLn,"['Bruce Hornsby', 'The Range']",5,1
2304,Reforged,Reforged,2XxqVEbpSvDGo2J3PqFDVg,['Zephaniah'],1,1
2334,Hangin' Tough,Hangin' Tough,0W7mquARagPr9V1N0nHYgK,['New Kids On The Block'],6,1
